Scholarship Name,College/University,Country,Type,How Much,Deadline,No additional application
The Trailblazer Scholarship,Agnes Scott College,United States ,Merit,"$25,000/yr",January 15,
Center for Women’s Entrepreneurial Leadership Scholarship,Babson College,United States ,Merit,25% off of tuition/year,,
Gabelli Presidential Scholars,Boston College,United States ,Merit,"Full tuition, merit",11/1 EA,
BU Trustee Scholarship,Boston University,United States ,Merit  ,Full Tuition - Undergraduate + Undergrad Fees,December 1,
Wien Scholarship,Brandeis University,United States ,Merit/Need based,Full,,X
Brown Fellows Program,Centre College,United States ,,Full tuition,,Nomination not required to apply
Lincoln Scholars Program,Centre College,United States ,,Full-cost plus ,,Nomination not required to apply
Grissom Scholars Program,Centre College,United States,,Full tuition,,Must be first-gen US citizen. Nomination not required to apply
"Chinese University of Hong Kong, Shenzhen","Chinese University of Hong Kong, Shenzhen",Hong Kong,Merit,Full-tuition & accomodations (10 students),,X
Kings Scholar,Dartmouth,United States ,Need based for minorities/students from impoverished nations,Full ,n/a (upon submission of Common app),
John Belk Scholarship,Davidson College,United States ,Merit,"comprehensive funding (tuition, fees, room and board) plus special study stipends that allow you great flexibility in the on- and off-campus opportunities you choose to explore.",11/10 nomination deadline,
Bryan Scholarship,Davidson College,United States ,Sports ,full tuition,"late sept nomination, application by Oct 15th",
Karsh Scholarship,Duke  ,United States ,Need/merit based for international students,Full + ,Reg. Decision,
Robertson Scholars Leadership Program,Duke / UNC,United States ,Merit/Need based,Full,11/15,
Key Award,Elmira College,United States,,"USD 20,000",,"If a Key Award winner is eligible for a merit scholarship of a greater value at the time of admission to Elmira College, that scholarship supersedes the Elmira College Key Award. Each student you nominate should have a minimum academic grade point average of 3.0 (4.0 scale), demonstrate outstanding school and community leadership, and have an interest in an academic program offered by Elmira College."
Oxford & Goizueta Scholarships,Emory University,United States ,Merit,1/2 to full tuition + study abroad,11/15,
Fairleigh Dickinson U,Fairleigh Dickinson University,United States ,Merit,Partial tuition,,
FIRST Robotics Scholarship,Harvey Mudd College,United States ,Merit,$10k/ year,,
Junior Scholars Program,High Point University,United States ,,USD 2500,,
Global Commitment Scholarship,Hollins College,United States ,Merit,Full tuition for 5 int'l students,December 1,
International Presidential Scholarship,Huron at Western University,Canada,,"CAD 25,000",,
Wells Scholars Program,Indiana University Bloomington,United States ,,Full-ride,,Students can self-nominate high school is not eligible to nominate.
Bremer Landesbank Stiftung,Jacobs University,Germany,Merit,Full-tuition,Feb 1,x
NCH Scholarship,New College of the Humanities,United Kingdom ,,GBP 2000,,Must be a nominating school.
Park Scholarship,North Carolina State University,United States,,Full-ride,,Students can self-nominate. Must be US citizen or PR.
Torch Scholars Program,Northeastern University,United States,,Unclear.,,Must be first-gen US citizen or PR from low-income household.
NYUAD Nomination,NYU Abu Dhabi,UAE,,Full-need,,"Nomination is not required to apply, but is considered."
Chancellor's Scholarship,Queen's University,Canada,,"CAD 36,000",,
Rensselaer Medal,Rennselaer Polytechnic Institute,United States ,,"USD 25,000",,
Computing Medal,Rochester Institute of Technology,United States ,,USD 8000,,Can nominate one male and one female student
Innovation and Creativity Award,Rochester Institute of Technology,United States ,,USD 8000,,Can nominate one male and one female student
Alfond Scholars Program,Rollins College,United States ,Merit,Full (no travel),11/1,
Distinguished Scholars Award,Savannah College of Art & Design,United States,,"USD 20,000",,"GPA of 3.75, leadership, outstanding talent. To nominate a student, email the following information to nomination@scad.edu: Student's name, Institution name/city/country, Your name and position, Brief statement (100 words or less) explaining why you are nominating the student "
Frances Larkin McCommon Scholarship,Savannah College of Art & Design,United States,,Full tuition,,Must demonstrate superior artistic achievement
May and Paul Poetter Scholarship,Savannah College of Art & Design,United States,,Full tuition,,Must demonstrate superior academic achievement
Kotzen Scholarship,Simmons College,United States ,Merit,Full/4yr/Additonal $3K per year,Dec 1,
St. Michael's College Book Award,St. Michael's College,United States ,,Up to full-tuition,,
Edmunds Scholars,Stetson University,United States,,Full-ride,,
Student Sage Award,The Sage Colleges,United States,,"USD 10,000",,Must be US citizen
International Leaders of Tomorrow & Donald A Wehrung,University of British Columbia,Canada,Merit/Need based/Int'l Students only.,Full / Meet 100% of need,Dec 1,
Wehrung International Student Award,University of British Columbia,Canada,,Full need,,
Vice Chancellor's International Undergraduate Excellence Scholarships,University of East Anglia,UK,Merit,25-50% tuition,June 22 (but apply earlier!),
